h,v,deg,error,est_distance,est_residual_knn
0.0,150.0,20.0,0.00151353282853961,0.32015621187164245,0.001021803143279006
0.0,150.0,25.0,0.0007039738120511174,0.25,0.0010468216302494209
0.0,150.0,30.0,0.000705598562490195,0.25,0.0008179773964608709
0.0,150.0,35.0,0.0006375964730978012,0.25,0.000718385330401361
0.0,150.0,40.0,0.0005413122125901282,0.25,0.0007500270924841365
0.0,150.0,45.0,0.0007998954388312995,0.3201562118716424,0.0006827780744060874
0.0,200.0,20.0,0.0015363728161901236,0.32015621187164245,0.0015825932884278397
0.0,200.0,25.0,0.0007313588284887373,0.25,0.0013673828604320686
0.0,200.0,30.0,0.000769307604059577,0.25,0.0007241095881909132
0.0,200.0,35.0,0.0004678994882851839,0.25,0.0006705157284159213
0.0,200.0,40.0,0.0004156492941547185,0.25,0.0006250629279141625
0.0,200.0,45.0,0.0006528800004161894,0.3201562118716424,0.0006667725101578981
0.0,250.0,20.0,0.0015914272516965866,0.32015621187164245,0.0018578525244568784
0.0,250.0,25.0,0.0010539473732933402,0.25,0.00156982922150443
0.0,250.0,30.0,0.0008782459190115333,0.25,0.0014351291853624086
0.0,250.0,35.0,0.0005621642922051251,0.25,0.001268148693876962
0.0,250.0,40.0,0.0005293567664921284,0.25,0.0007394415830882887
0.0,250.0,45.0,0.0008864807896316051,0.3201562118716424,0.0006189008515017728
0.0,300.0,20.0,0.0008714688010513783,0.32015621187164245,0.0010910526810524364
0.0,300.0,25.0,0.0006620182539336383,0.25,0.0009500381808417538
0.0,300.0,30.0,0.0007787282229401171,0.25,0.0009034996619448066
0.0,300.0,35.0,0.0006171479471959174,0.25,0.0007821050627777973
0.0,300.0,40.0,0.0005898192175664008,0.25,0.0009049358195625246
0.0,300.0,45.0,0.0010517712216824293,0.3201562118716424,0.0007511806713106731
1.0,150.0,20.0,0.0014401021180674434,0.25,0.0013104422444788117
1.0,150.0,25.0,0.0009213334997184575,0.25,0.0010854792781174183
1.0,150.0,30.0,0.001112361904233694,0.25,0.0008450590927774707
1.0,150.0,35.0,0.0009082452161237597,0.25,0.0008541825809516013
1.0,150.0,40.0,0.0008125893655233085,0.25,0.0007146633579395711
1.0,150.0,45.0,0.0006944326451048255,0.25,0.0008834987335527936
1.0,200.0,20.0,0.0022199528757482767,0.25,0.0015663597732782364
1.0,200.0,25.0,0.001796468161046505,0.25,0.001308127384011944
1.0,200.0,30.0,0.0009730704477988183,0.25,0.001763582481847455
1.0,200.0,35.0,0.0008265902870334685,0.25,0.0007317930770417055
1.0,200.0,40.0,0.0007544092950411141,0.25,0.0006908328408220162
