h,v,deg,error,est_distance,est_residual_knn
1.0,250.0,45.0,8.649505616631359e-05,0.25,0.000244387056833754
1.0,300.0,20.0,0.0002679118770174682,0.25,0.0003770049176334093
1.0,300.0,25.0,0.00021199884940870106,0.25,0.00025306282138141495
1.0,300.0,30.0,0.00035941635724157095,0.25,0.000265770645152467
1.0,300.0,35.0,0.0003806623863056302,0.25,0.00028542138655514765
1.0,300.0,40.0,0.0003683991089928895,0.25,0.00024246481189038604
1.0,300.0,45.0,0.0002196320565417409,0.25,0.0002941434067906812
2.0,150.0,20.0,0.00024887523613870144,0.25,0.00034250707055131596
2.0,150.0,25.0,0.0003270501038059592,0.25,0.0002499928135269632
2.0,150.0,30.0,0.0003438399580772966,0.25,0.0002545075888823097
2.0,150.0,35.0,0.00024237300385721028,0.25,0.00020636573754018173
2.0,150.0,40.0,0.00016236232477240264,0.25,0.00019622148829512298
2.0,150.0,45.0,0.00020931281324010342,0.25,0.00014898835312730321
2.0,200.0,20.0,0.00013722667063120753,0.25,0.00045474438229575753
2.0,200.0,25.0,0.00027939712163060904,0.25,0.0004140580858802423
2.0,200.0,30.0,0.000600845436565578,0.25,0.00039271172621132183
2.0,200.0,35.0,0.0006647275295108557,0.25,0.00032107470421275747
2.0,200.0,40.0,0.0002311251882929355,0.25,0.0002904947711310039
2.0,200.0,45.0,0.00013282631698530167,0.25,0.00019862405315507203
2.0,250.0,20.0,0.0006525965873152018,0.25,0.00029624121574064094
2.0,250.0,25.0,0.0003096433647442609,0.25,0.0005224624619586393
2.0,250.0,30.0,0.00016727963520679623,0.25,0.0006326387810986489
2.0,250.0,35.0,0.0009119517053477466,0.25,0.0004784415311102445
2.0,250.0,40.0,0.0009200370986945927,0.25,0.0006378885300364345
2.0,250.0,45.0,0.00039610909880138934,0.25,0.00046397196031951654
2.0,300.0,20.0,0.0007748941425234079,0.25,0.00044463798015688855
2.0,300.0,25.0,0.0005668924422934651,0.25,0.00044567780181144673
2.0,300.0,30.0,0.00035014041350223124,0.25,0.0003787889921416839
2.0,300.0,35.0,0.0002100581768900156,0.25,0.0004092733433935791
2.0,300.0,40.0,0.0004970172303728759,0.25,0.00028315657982602715
2.0,300.0,45.0,0.00027101245359517634,0.25,0.0002935315763655429
3.0,150.0,20.0,0.00036714645102620125,0.25,0.00031490629771724343
3.0,150.0,25.0,0.00036899521364830434,0.25,0.000347859119453157
3.0,150.0,30.0,0.0003493808035273105,0.25,0.0003620044541700433
3.0,150.0,35.0,0.00037317819078452885,0.25,0.00026443793224946904
3.0,150.0,40.0,0.00020155998936388642,0.25,0.00022845388836382577
3.0,150.0,45.0,0.00014982114953454584,0.25,0.00021120149176567793
3.0,200.0,20.0,0.0006203603697940707,0.25,0.0004909603400543953
3.0,200.0,25.0,0.0006531286053359509,0.25,0.000325495204985297
3.0,200.0,30.0,7.672812353121117e-05,0.25,0.000580703936672459
3.0,200.0,35.0,0.0004881377681158483,0.25,0.0003939074740628712
3.0,200.0,40.0,0.0004402667691465467,0.25,0.00031184948844990384
3.0,200.0,45.0,0.00021628550894092768,0.25,0.00038768489321228117
3.0,250.0,20.0,0.0001548257132526487,0.25,0.0006837543721000353
3.0,250.0,25.0,0.0007923575467430055,0.25,0.0004104600326778988
