suite,experiment,level,model_type,validation_mode,align_patterns,rbf_kernel,rbf_smoothing,rbf_epsilon,pod_n_components,seed,status,error,train_time_seconds,explained_variance,n_components_used,extrapolation_fraction,training_samples,git_commit,training_data_hash,timestamp,notes,mean_relative_error,p95_hybrid_error,r2,mae,raw_mean_relative_error,raw_p95_hybrid_error,raw_r2,raw_mae,centroid_error_m,peak_position_error_m,peak_intensity_error,iou,dice
pod,pod_K=5,F,pod_rbf,random,True,thin_plate_spline,0.0,,5,42,ok,,157.10862089999955,0.7560799148201387,5,,96,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-02T02:39:09+00:00,POD K 扫描,0.08853143453598022,0.16738614439964294,0.9546694755554199,0.012968186289072037,0.1295212060213089,0.4468710422515869,0.8362076282501221,0.05962546914815903,0.1816127883819686,10.644245346929395,0.06312590340773265,0.7775675110021177,0.8730933510382136
pod,pod_K=10,F,pod_rbf,random,True,thin_plate_spline,0.0,,10,42,ok,,143.8005747999996,0.8690391712772657,10,,96,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-02T02:41:33+00:00,POD K 扫描,0.08401559293270111,0.16884757578372955,0.9560064673423767,0.01233653724193573,0.12608753144741058,0.44695180654525757,0.8395340442657471,0.05863020196557045,0.18318818887671295,11.017698883763876,0.059288727740446724,0.7824842461918161,0.87615134973885
pod,pod_K=15,F,pod_rbf,random,True,thin_plate_spline,0.0,,15,42,ok,,140.95305970000027,0.9176702661173471,15,,96,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-02T02:43:54+00:00,POD K 扫描,0.08415213227272034,0.17055323719978333,0.9551615118980408,0.012362299486994743,0.12485988438129425,0.4446951448917389,0.8409562110900879,0.058024968951940536,0.183700673545792,11.972043989215422,0.060586887101332344,0.7883042885432072,0.879647498774418
pod,pod_K=20,F,pod_rbf,random,True,thin_plate_spline,0.0,,20,42,ok,,138.9711284999994,0.9474536389137205,20,,96,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-02T02:46:13+00:00,POD K 扫描,0.08440928161144257,0.17353492975234985,0.9538647532463074,0.012488462030887604,0.12210798263549805,0.44323045015335083,0.8409094214439392,0.05727827176451683,0.183752581006095,10.76607355276841,0.060939133167266846,0.7884749468258375,0.8798030688404004
pod,pod_K=25,F,pod_rbf,random,True,thin_plate_spline,0.0,,25,42,ok,,130.92732199999955,0.9634583253684953,25,,96,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-02T02:48:24+00:00,POD K 扫描,0.08430439978837967,0.17367996275424957,0.9538068175315857,0.012469577603042126,0.1216522827744484,0.44189831614494324,0.8407189846038818,0.05706506967544556,0.18384066515602507,12.996227783402778,0.060829448203245796,0.7893847202146844,0.8803742489161076
pod,pod_K=30,F,pod_rbf,random,True,thin_plate_spline,0.0,,30,42,ok,,151.49953779999942,0.9734131556352935,30,,96,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-02T02:50:56+00:00,POD K 扫描,0.08406177908182144,0.17410051822662354,0.9536969065666199,0.01246492937207222,0.12038125097751617,0.4412107467651367,0.8406057953834534,0.05678423494100571,0.1837600387547521,11.250089807688488,0.05967303365468979,0.7900103483031103,0.880755214382407
