suite,experiment,level,model_type,validation_mode,align_patterns,rbf_kernel,rbf_smoothing,rbf_epsilon,pod_n_components,seed,status,error,train_time_seconds,explained_variance,n_components_used,extrapolation_fraction,training_samples,git_commit,training_data_hash,timestamp,notes,mean_relative_error,p95_hybrid_error,r2,mae,raw_mean_relative_error,raw_p95_hybrid_error,raw_r2,raw_mae,centroid_error_m,peak_position_error_m,peak_intensity_error,iou,dice
pod,pod_K=5,P,pod_rbf,random,True,thin_plate_spline,0.0,,5,42,ok,,203.70802939999885,0.89054822112383,5,,96,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T05:26:40+00:00,POD K 扫描,0.12354536354541779,0.0967959314584732,0.44859778881073,0.008103135041892529,0.23011554777622223,0.43685823678970337,0.6563447713851929,0.04384096711874008,0.21774723297574253,11.52130362873033,0.08366474136710167,0.7028404264828619,0.8188626338533762
pod,pod_K=10,P,pod_rbf,random,True,thin_plate_spline,0.0,,10,42,ok,,186.5260700000017,0.953059561251469,10,,96,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T05:29:46+00:00,POD K 扫描,0.12033355981111526,0.09553351253271103,0.4640885591506958,0.007899611257016659,0.22315865755081177,0.4408473074436188,0.6642099022865295,0.0427241250872612,0.2173298491993972,9.654616923824511,0.07961329507331054,0.714206789113644,0.8265115184339485
pod,pod_K=15,P,pod_rbf,random,True,thin_plate_spline,0.0,,15,42,ok,,190.34940259999894,0.9765474231105093,15,,96,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T05:32:57+00:00,POD K 扫描,0.12312965840101242,0.09572943300008774,0.4477843642234802,0.008104941807687283,0.22198553383350372,0.43785908818244934,0.667637825012207,0.04237053915858269,0.21698763012384378,9.114466457333696,0.07810311888655026,0.7149359892615591,0.8269167509946321
pod,pod_K=20,P,pod_rbf,random,True,thin_plate_spline,0.0,,20,42,ok,,229.40959199999998,0.9867685347130335,20,,96,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T05:36:47+00:00,POD K 扫描,0.12345970422029495,0.09557036310434341,0.4459191560745239,0.008126876316964626,0.22051382064819336,0.4346535801887512,0.6691325902938843,0.04228456690907478,0.21773230176723216,7.020562023015176,0.07633939944207668,0.7173962602559852,0.8282779983513988
pod,pod_K=25,P,pod_rbf,random,True,thin_plate_spline,0.0,,25,42,ok,,207.2319453,0.9920750082658427,25,,96,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T05:40:14+00:00,POD K 扫描,0.1239621713757515,0.09709309041500092,0.44208961725234985,0.008162951096892357,0.22044646739959717,0.44034114480018616,0.6694190502166748,0.04229355230927467,0.2178634998713349,7.187228689681844,0.07556432237227757,0.7180719638822645,0.8286827260203836
pod,pod_K=30,P,pod_rbf,random,True,thin_plate_spline,0.0,,30,42,ok,,323.72239679999984,0.9950510486931613,30,,96,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T05:45:39+00:00,POD K 扫描,0.12424107640981674,0.09689430892467499,0.4396190643310547,0.008180863223969936,0.22092205286026,0.4389857053756714,0.6696368455886841,0.04232821613550186,0.21782305677130256,7.145562023015177,0.07563897284368674,0.7193201424956411,0.8293003497553952
