suite,experiment,level,model_type,validation_mode,align_patterns,rbf_kernel,rbf_smoothing,rbf_epsilon,pod_n_components,seed,status,error,train_time_seconds,explained_variance,n_components_used,extrapolation_fraction,training_samples,git_commit,training_data_hash,timestamp,notes,mean_relative_error,p95_hybrid_error,r2,mae,raw_mean_relative_error,raw_p95_hybrid_error,raw_r2,raw_mae,centroid_error_m,peak_position_error_m,peak_intensity_error,iou,dice
design,rbf_align=off,F,rbf,random,False,thin_plate_spline,0.0,,,42,ok,,201.34425439999904,,,,96,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-01T10:25:49+00:00,设计象限：模型类型 × 质心对齐,0.08703939616680145,0.1749258041381836,0.9543978571891785,0.01280488632619381,0.12750132381916046,0.5484375953674316,0.8156707286834717,0.05757078155875206,0.19080265245765482,12.801774634162086,0.009107592205206553,0.8387172414440677,0.9101234142846008
design,rbf_align=on,F,rbf,random,True,thin_plate_spline,0.0,,,42,ok,,222.26625860000058,,,,96,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-01T10:29:32+00:00,设计象限：模型类型 × 质心对齐,0.08401677757501602,0.17601124942302704,0.9532662630081177,0.012482264079153538,0.11919119954109192,0.4493091404438019,0.8399345278739929,0.056454017758369446,0.18398778023680126,11.096938244727648,0.05506002902984619,0.7929346147580644,0.8825584268077509
design,pod_rbf_align=off,F,pod_rbf,random,False,thin_plate_spline,0.0,,20.0,42,ok,,162.8621381999983,0.9475276091643291,20.0,,96,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-01T10:32:15+00:00,设计象限：模型类型 × 质心对齐,0.08815012872219086,0.1693478524684906,0.9567310810089111,0.012782040983438492,0.13368667662143707,0.5396881699562073,0.824830174446106,0.05871810391545296,0.22980967577984313,12.866388174705135,0.007424225409825643,0.829873172527971,0.9048885226514632
design,pod_rbf_align=on,F,pod_rbf,random,True,thin_plate_spline,0.0,,20.0,42,ok,,168.54756440000347,0.9474527581116736,20.0,,96,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-01T10:35:04+00:00,设计象限：模型类型 × 质心对齐,0.08440694212913513,0.17350198328495026,0.9538651704788208,0.012488100677728653,0.12210281193256378,0.44306689500808716,0.8409099578857422,0.057276878505945206,0.18375658440580786,10.76607355276841,0.06096466879049937,0.788533504023337,0.8798413204949757
