suite,experiment,level,model_type,validation_mode,align_patterns,rbf_kernel,rbf_smoothing,rbf_epsilon,pod_n_components,seed,status,error,train_time_seconds,explained_variance,n_components_used,extrapolation_fraction,training_samples,git_commit,training_data_hash,timestamp,notes,mean_relative_error,p95_hybrid_error,r2,mae,raw_mean_relative_error,raw_p95_hybrid_error,raw_r2,raw_mae,centroid_error_m,peak_position_error_m,peak_intensity_error,iou,dice
design,rbf_align=off,P,rbf,random,False,thin_plate_spline,0.0,,,42,ok,,184.8402223000012,,,,96,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T04:43:05+00:00,设计象限：模型类型 × 质心对齐,0.12253370136022568,0.08932879567146301,0.47785240411758423,0.007891851477324963,0.2321646809577942,0.5247294306755066,0.6582768559455872,0.040139276534318924,0.23757355778487665,6.412737758240922,0.043721881384650864,0.7501938876003694,0.8495139166149137
design,rbf_align=on,P,rbf,random,True,thin_plate_spline,0.0,,,42,ok,,240.65976820000105,,,,96,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T04:47:06+00:00,设计象限：模型类型 × 质心对齐,0.12402109056711197,0.09720790386199951,0.44149744510650635,0.008162940852344036,0.22018612921237946,0.43820124864578247,0.6694427728652954,0.04224110394716263,0.21809495015428573,7.725820759793035,0.0746638048440218,0.7189043205184915,0.8292866694332095
design,pod_rbf_align=off,P,pod_rbf,random,False,thin_plate_spline,0.0,,20.0,42,ok,,237.32858599999963,0.9750503776778539,20.0,,96,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T04:51:04+00:00,设计象限：模型类型 × 质心对齐,0.12339656054973602,0.09030762314796448,0.4708142876625061,0.00793436449021101,0.2322586625814438,0.5377522706985474,0.6624292731285095,0.04002348333597183,0.26505003546823586,7.629242918139309,0.038129364450772606,0.7636666532968494,0.8593221732719426
design,pod_rbf_align=on,P,pod_rbf,random,True,thin_plate_spline,0.0,,20.0,42,ok,,254.34755460000088,0.9867685885102911,20.0,,96,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T04:55:19+00:00,设计象限：模型类型 × 质心对齐,0.12345349043607712,0.09556898474693298,0.44597697257995605,0.008126473054289818,0.22051748633384705,0.43463510274887085,0.6691303253173828,0.042284876108169556,0.21772906867584998,7.020562023015176,0.07633870715896289,0.7177441266752803,0.8284874955581026
