suite,experiment,level,model_type,validation_mode,align_patterns,rbf_kernel,rbf_smoothing,rbf_epsilon,pod_n_components,seed,status,error,train_time_seconds,explained_variance,n_components_used,extrapolation_fraction,training_samples,git_commit,training_data_hash,timestamp,notes,mean_relative_error,p95_hybrid_error,r2,mae,raw_mean_relative_error,raw_p95_hybrid_error,raw_r2,raw_mae,centroid_error_m,peak_position_error_m,peak_intensity_error,iou,dice
rbf,rbf_thin_plate_spline_s=0,F,rbf,random,True,thin_plate_spline,0.0,,,42,ok,,148.1271215000006,,,,96.0,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-02T02:53:24+00:00,RBF 参数扫描,0.08401677757501602,0.17601124942302704,0.9532662630081177,0.012482264079153538,0.11919119954109192,0.4493091404438019,0.8399345278739929,0.056454017758369446,0.18398778023680126,11.096938244727648,0.05506002902984619,0.7929346147580644,0.8825584268077509
rbf,rbf_thin_plate_spline_s=0.001,F,rbf,random,True,thin_plate_spline,0.001,,,42,ok,,124.88694510000005,,,,96.0,b6803e2,sha256:b43d66608bc0000055d52c65cf2ad5fdba4199fe596a56830329294d915def20,2026-09-02T02:55:29+00:00,RBF 参数扫描,0.08389490097761154,0.1749354898929596,0.9538568258285522,0.012450989335775375,0.11907360702753067,0.44845840334892273,0.8408066630363464,0.056398216634988785,0.18356940342052844,11.096938244727648,0.05500165124734243,0.7919589802983459,0.8819428620305002
rbf,rbf_multiquadric_s=0,F,rbf,random,True,multiquadric,0.0,,,42,error,"ModelFitError: 形状插值失败：RBF 方程组奇异或病态（`epsilon` must be specified if `kernel` is not one of {'thin_plate_spline', 'quintic', 'cubic', 'linear'}.）。常见原因：训练工况共线/共面，或精确插值数值不稳定；可将 smoothing 设为略大于 0 的值重试",,,,,,,,2026-09-02T02:57:03+00:00,RBF 参数扫描,,,,,,,,,,,,,
rbf,rbf_multiquadric_s=0.001,F,rbf,random,True,multiquadric,0.001,,,42,error,"ModelFitError: 形状插值失败：RBF 方程组奇异或病态（`epsilon` must be specified if `kernel` is not one of {'thin_plate_spline', 'quintic', 'cubic', 'linear'}.）。常见原因：训练工况共线/共面，或精确插值数值不稳定；可将 smoothing 设为略大于 0 的值重试",,,,,,,,2026-09-02T02:58:42+00:00,RBF 参数扫描,,,,,,,,,,,,,
