suite,experiment,level,model_type,validation_mode,align_patterns,rbf_kernel,rbf_smoothing,rbf_epsilon,pod_n_components,seed,status,error,train_time_seconds,explained_variance,n_components_used,extrapolation_fraction,training_samples,git_commit,training_data_hash,timestamp,notes,mean_relative_error,p95_hybrid_error,r2,mae,raw_mean_relative_error,raw_p95_hybrid_error,raw_r2,raw_mae,centroid_error_m,peak_position_error_m,peak_intensity_error,iou,dice
rbf,rbf_thin_plate_spline_s=0,P,rbf,random,True,thin_plate_spline,0.0,,,42,ok,,167.0722773999987,,,,96.0,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T05:48:26+00:00,RBF 参数扫描,0.12402109056711197,0.09720790386199951,0.44149744510650635,0.008162940852344036,0.22018612921237946,0.43820124864578247,0.6694427728652954,0.04224110394716263,0.21809495015428573,7.725820759793035,0.0746638048440218,0.7189043205184915,0.8292866694332095
rbf,rbf_thin_plate_spline_s=0.001,P,rbf,random,True,thin_plate_spline,0.001,,,42,ok,,159.2375269999975,,,,96.0,b6803e2,sha256:13bbd9fdc2d64bf180c6aaac798f854ad564eefa87a0bd4d57e38440a255482a,2026-09-02T05:51:05+00:00,RBF 参数扫描,0.12393679469823837,0.0958266630768776,0.4471195936203003,0.008157799951732159,0.21970172226428986,0.4360509216785431,0.6710870265960693,0.04214806109666824,0.218020153597294,7.725820759793035,0.07458069734275341,0.7189069605278782,0.8291903702544262
rbf,rbf_multiquadric_s=0,P,rbf,random,True,multiquadric,0.0,,,42,error,"ModelFitError: 形状插值失败：RBF 方程组奇异或病态（`epsilon` must be specified if `kernel` is not one of {'quintic', 'linear', 'cubic', 'thin_plate_spline'}.）。常见原因：训练工况共线/共面，或精确插值数值不稳定；可将 smoothing 设为略大于 0 的值重试",,,,,,,,2026-09-02T05:53:10+00:00,RBF 参数扫描,,,,,,,,,,,,,
rbf,rbf_multiquadric_s=0.001,P,rbf,random,True,multiquadric,0.001,,,42,error,"ModelFitError: 形状插值失败：RBF 方程组奇异或病态（`epsilon` must be specified if `kernel` is not one of {'quintic', 'linear', 'cubic', 'thin_plate_spline'}.）。常见原因：训练工况共线/共面，或精确插值数值不稳定；可将 smoothing 设为略大于 0 的值重试",,,,,,,,2026-09-02T05:55:25+00:00,RBF 参数扫描,,,,,,,,,,,,,
